GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "32000","Nevada",8,SARPP,1,"...","RPPs: All items ","Index",101.214,103.042,100.763,102.213,101.595,99.816,99.160,98.588,97.172,99.827,96.198,98.847,97.188,95.413,96.324,96.980
 "33000","New Hampshire",1,SARPP,1,"...","RPPs: All items ","Index",106.272,105.231,104.064,103.513,102.937,102.840,102.144,103.956,105.144,105.765,103.530,104.020,105.271,102.565,107.809,105.345
 "34000","New Jersey",2,SARPP,1,"...","RPPs: All items ","Index",107.563,111.124,108.867,109.277,109.420,109.077,109.154,108.990,109.111,109.323,111.078,111.183,110.712,109.190,108.768,108.883
 "35000","New Mexico",6,SARPP,1,"...","RPPs: All items ","Index",95.114,95.964,94.505,97.088,96.483,95.561,95.469,95.414,94.452,95.720,91.625,92.981,91.807,89.835,90.911,90.386
 "36000","New York",2,SARPP,1,"...","RPPs: All items ","Index",111.455,111.204,110.132,110.978,109.733,109.791,108.954,109.666,110.138,109.945,109.587,109.418,110.118,109.587,107.573,107.626
 "37000","North Carolina",5,SARPP,1,"...","RPPs: All items ","Index",92.409,91.214,92.813,93.521,93.471,93.683,93.788,93.552,93.771,93.056,92.916,91.871,91.345,93.760,93.998,94.139
 "38000","North Dakota",4,SARPP,1,"...","RPPs: All items ","Index",85.946,87.879,89.176,89.643,92.068,92.349,92.576,91.178,91.708,88.706,91.212,93.203,91.814,90.939,88.721,88.572
 "39000","Ohio",3,SARPP,1,"...","RPPs: All items ","Index",92.550,93.518,93.155,92.236,93.037,93.285,93.064,92.269,92.408,91.938,92.932,93.284,91.932,92.209,91.513,91.812
 "40000","Oklahoma",6,SARPP,1,"...","RPPs: All items ","Index",89.494,88.408,90.456,90.870,91.179,91.465,91.779,91.327,91.480,90.916,89.659,89.329,89.634,89.899,88.791,88.286
 "41000","Oregon",8,SARPP,1,"...","RPPs: All items ","Index",97.934,100.232,99.286,99.774,101.112,100.146,99.747,101.144,99.595,101.486,104.706,103.816,103.246,103.140,106.595,104.721
 "42000","Pennsylvania",2,SARPP,1,"...","RPPs: All items ","Index",99.232,99.598,99.069,98.473,98.025,97.858,97.250,98.205,97.815,99.123,98.133,97.958,97.687,96.110,96.166,97.500
 "44000","Rhode Island",1,SARPP,1,"...","RPPs: All items ","Index",103.855,104.293,102.110,101.304,99.934,101.540,100.436,102.176,101.725,102.476,102.076,102.407,101.767,102.146,104.396,101.412
 "45000","South Carolina",5,SARPP,1,"...","RPPs: All items ","Index",91.927,90.965,92.596,93.143,93.360,93.258,93.198,93.289,93.609,92.868,92.261,91.494,90.874,93.637,93.328,93.177
 "46000","South Dakota",4,SARPP,1,"...","RPPs: All items ","Index",85.044,86.070,88.863,87.321,90.380,90.265,89.448,87.890,87.387,87.275,91.253,91.833,91.326,90.089,87.879,88.095
 "47000","Tennessee",5,SARPP,1,"...","RPPs: All items ","Index",91.662,90.449,92.269,92.839,93.362,92.944,92.747,92.777,93.781,93.074,89.660,91.255,90.499,90.595,91.797,92.515
 "48000","Texas",6,SARPP,1,"...","RPPs: All items ","Index",96.977,96.653,97.591,96.925,97.646,98.048,98.364,98.223,98.024,97.372,97.745,98.503,98.774,98.404,97.447,97.175
 "49000","Utah",7,SARPP,1,"...","RPPs: All items ","Index",96.975,100.036,97.291,99.824,99.423,98.575,97.934,97.656,97.082,98.708,95.977,97.259,95.262,94.573,94.572,95.002
 "50000","Vermont",1,SARPP,1,"...","RPPs: All items ","Index",100.885,101.704,99.614,99.253,100.050,100.497,98.076,100.159,98.332,100.398,100.239,99.616,102.132,98.661,100.990,96.635
 "51000","Virginia",5,SARPP,1,"...","RPPs: All items ","Index",103.145,102.361,103.586,103.378,102.471,103.515,103.455,103.591,102.805,101.267,102.018,100.056,101.010,102.329,102.051,100.749
 "53000","Washington",8,SARPP,1,"...","RPPs: All items ","Index",104.513,104.620,102.608,103.205,102.509,102.450,103.861,104.344,105.555,107.451,107.124,107.979,107.869,108.754,110.025,108.562
 "54000","West Virginia",5,SARPP,1,"...","RPPs: All items ","Index",87.601,86.614,88.829,89.240,89.267,90.200,89.834,90.535,89.796,89.026,89.427,88.521,87.333,91.002,89.156,89.772
 "55000","Wisconsin",3,SARPP,1,"...","RPPs: All items ","Index",93.276,94.224,94.858,93.773,94.356,93.911,93.832,93.314,93.234,93.540,93.951,94.472,92.665,93.293,92.416,93.097
 "56000","Wyoming",7,SARPP,1,"...","RPPs: All items ","Index",95.310,96.638,95.492,97.638,96.284,97.350,97.424,96.972,97.747,97.185,92.345,94.120,91.831,91.533,91.761,90.848
 "00000","United States", ,SARPP,2,"..."," RPPs: Goods ","Index",99.497,99.450,99.538,99.533,99.564,99.571,99.584,99.583,99.583,99.564,99.540,99.573,99.541,99.567,99.540,99.505
 "01000","Alabama",5,SARPP,2,"..."," RPPs: Goods ","Index",95.966,93.984,96.303,95.863,95.135,96.143,96.138,95.078,95.915,95.451,92.523,94.601,94.343,93.936,94.656,95.064
 "02000","Alaska",8,SARPP,2,"..."," RPPs: Goods ","Index",105.925,105.720,104.099,103.569,101.594,100.198,99.985,104.554,107.481,107.743,103.184,100.529,101.586,109.177,105.588,100.372
 "04000","Arizona",6,SARPP,2,"..."," RPPs: Goods ","Index",102.954,106.398,100.098,98.955,98.250,97.606,97.755,98.568,97.865,97.198,95.837,96.004,100.067,95.102,98.104,97.472
 "05000","Arkansas",5,SARPP,2,"..."," RPPs: Goods ","Index",95.942,93.772,96.536,95.920,94.388,95.308,94.652,93.843,94.797,94.500,93.047,94.774,94.350,95.618,93.108,92.135
 "06000","California",8,SARPP,2,"..."," RPPs: Goods ","Index",107.408,104.678,103.033,103.588,104.082,104.288,104.342,105.568,104.409,104.455,105.479,106.179,106.680,108.145,108.432,107.530
 "08000","Colorado",7,SARPP,2,"..."," RPPs: Goods ","Index",104.463,102.120,101.334,101.647,101.394,101.082,100.263,99.891,99.885,99.613,97.621,101.582,101.969,101.766,101.157,98.118
 "09000","Connecticut",1,SARPP,2,"..."," RPPs: Goods ","Index",109.357,108.556,103.620,103.772,104.600,104.285,103.441,103.220,103.625,104.396,101.428,98.730,98.971,96.991,101.072,97.372
 "10000","Delaware",2,SARPP,2,"..."," RPPs: Goods ","Index",103.492,101.936,101.524,102.502,99.450,97.127,95.645,97.130,98.618,96.508,96.907,95.719,94.488,94.521,94.654,98.363
 "11000","District of Columbia",2,SARPP,2,"..."," RPPs: Goods ","Index",112.191,112.777,109.514,107.859,105.852,110.869,105.611,105.830,106.549,104.635,107.152,104.732,105.541,107.827,107.338,105.870
 "12000","Florida",5,SARPP,2,"..."," RPPs: Goods ","Index",98.894,96.984,97.189,97.278,97.950,98.538,98.218,97.291,97.417,98.361,97.732,96.112,97.424,98.362,98.019,98.417
 "13000","Georgia",5,SARPP,2,"..."," RPPs: Goods ","Index",94.417,95.879,96.443,96.723,97.142,97.779,97.108,96.835,97.028,97.128,97.800,96.447,96.377,96.622,97.629,98.332
 "15000","Hawaii",8,SARPP,2,"..."," RPPs: Goods ","Index",106.755,108.867,108.601,108.491,106.245,109.021,109.101,110.773,112.354,112.648,116.616,115.259,112.383,110.089,111.912,106.907
 "16000","Idaho",7,SARPP,2,"..."," RPPs: Goods ","Index",99.218,100.580,99.083,99.652,98.149,96.360,97.204,100.387,99.619,101.149,96.119,98.902,95.406,96.613,96.059,93.992
 "17000","Illinois",3,SARPP,2,"..."," RPPs: Goods ","Index",99.357,101.679,102.190,102.680,101.119,99.925,100.542,98.658,98.261,100.041,101.445,102.833,101.340,103.708,102.734,100.879
 "18000","Indiana",3,SARPP,2,"..."," RPPs: Goods ","Index",92.829,94.692,96.501,96.499,97.492,97.222,98.316,97.712,97.020,95.898,97.802,96.577,94.959,95.683,94.245,94.829
 "19000","Iowa",4,SARPP,2,"..."," RPPs: Goods ","Index",86.825,91.139,95.436,95.456,96.381,95.919,96.965,96.988,95.991,94.974,95.816,97.215,95.522,94.084,93.290,95.070
 "20000","Kansas",4,SARPP,2,"..."," RPPs: Goods ","Index",88.694,93.667,95.513,95.885,96.957,96.291,97.044,97.466,96.523,95.835,95.007,97.130,95.860,93.814,93.584,94.797
 "21000","Kentucky",5,SARPP,2,"..."," RPPs: Goods ","Index",96.327,93.473,96.509,95.345,93.893,94.941,94.998,94.025,95.229,94.605,93.321,94.861,94.313,93.965,94.049,95.059
 "22000","Louisiana",5,SARPP,2,"..."," RPPs: Goods ","Index",96.440,94.024,96.681,96.141,95.539,96.144,96.338,95.317,95.985,95.792,93.537,95.090,94.575,95.164,93.928,92.047
 "23000","Maine",1,SARPP,2,"..."," RPPs: Goods ","Index",100.219,100.663,98.186,98.358,99.054,98.484,98.264,99.410,99.058,100.261,100.935,99.401,99.479,99.224,101.079,96.562
